Sun Oct 26 2025 10:51:25 [SERVER-NAME] info: [32mConfig validation successful.[39m
Sun Oct 26 2025 10:58:2 [SERVER-NAME] info: [32mConfig validation successful.[39m
Sun Oct 26 2025 10:58:3 [SERVER-NAME] info: [46m🚀 Database connected successfully[49m
Sun Oct 26 2025 10:58:3 [SERVER-NAME] info: [33m♻️  Socket is listening on same port 7010[39m
Sun Oct 26 2025 10:58:3 [SERVER-NAME] info: [46m♻️  Application listening on http://10.10.7.62:7010[49m
Sun Oct 26 2025 10:58:23 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/categories/all-for-admin?searchTerm=React 200 - 113.339 ms
Sun Oct 26 2025 10:58:31 [SERVER-NAME] info: 10.10.7.14 - OPTIONS /api/v1/categories/all-for-admin?searchTerm=&page=1 204 - 0.561 ms
Sun Oct 26 2025 10:58:31 [SERVER-NAME] info: 10.10.7.14 - OPTIONS /api/v1/users/profile 204 - 0.082 ms
Sun Oct 26 2025 10:58:31 [SERVER-NAME] info: 10.10.7.14 - OPTIONS /api/v1/notification?limit=7&page=undefined 204 - 0.041 ms
Sun Oct 26 2025 10:58:31 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/users/profile 200 - 13.529 ms
Sun Oct 26 2025 10:58:31 [SERVER-NAME] info: 10.10.7.14 - GET /api/v1/categories/all-for-admin?searchTerm=&page=1 304 - 21.247 ms
Sun Oct 26 2025 10:58:32 [SERVER-NAME] info: 10.10.7.14 - GET /thumbnail/rectangle-7-1761394012970.jpg 304 - 1.315 ms
Sun Oct 26 2025 10:58:32 [SERVER-NAME] info: 10.10.7.14 - GET /image/downloaded-image-1761385228479.jpg 304 - 2.483 ms
Sun Oct 26 2025 10:58:32 [SERVER-NAME] info: 10.10.7.14 - GET /thumbnail/downloaded-image-1761393877296.jpg 304 - 1.768 ms
Sun Oct 26 2025 10:58:32 [SERVER-NAME] info: 10.10.7.14 - GET /thumbnail/cosmos-atos-keycap-press-button-close-up-crypto-currency-3d-illustration-render_476123-904-1761391518794.jpg 304 - 1.302 ms
Sun Oct 26 2025 10:58:32 [SERVER-NAME] info: 10.10.7.14 - GET /thumbnail/imgi_92_photo-camera-958x575-1760619999216.png 304 - 1.409 ms
Sun Oct 26 2025 10:58:32 [SERVER-NAME] info: 10.10.7.14 - GET /thumbnail/hu-letter-luxurious-brand-logo-template-for-restaurant-royalty-boutique-cafe-hotel-heraldic-jewelry-fashion-and-other-vector-illustration-2g5ha87-1761383178787.jpg 304 - 1.243 ms
